"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.19750429339874e-45,-6.76269783994258,0.002,0.142,5.75645738796703e-41,"0","ASGR1"
8.67116275135043e-45,-3.07262864006553,0.026,0.195,1.1891632597202e-40,"0","PLAUR"
1.53986288434424e-44,1.6473760181766,0.393,0.154,2.11176795958968e-40,"0","LEPROTL1"
2.8525789371779e-44,-3.33886191315341,0.019,0.177,3.91202675444578e-40,"0","TGFBI"
3.04286913163745e-44,-2.90255134187981,0.04,0.214,4.1729907271276e-40,"0","SCPEP1"
4.17108356454255e-44,0.376984076422865,0.997,0.983,5.72022400041365e-40,"0","RPS7"
8.14100168927522e-44,-4.85406929372745,0.022,0.162,1.1164569716672e-39,"0","TCL1A"
8.52026447600874e-44,-1.46741535898911,0.778,0.788,1.16846907023984e-39,"0","S100A6"
1.28642557792509e-43,-3.34447582697145,0.032,0.196,1.76420403756646e-39,"0","HVCN1"
1.90235917838521e-43,-3.50214447569982,0.022,0.181,2.60889537723748e-39,"0","IRF8"
2.01486000584939e-43,-2.29952534819741,0.069,0.263,2.76317901202185e-39,"0","ABI3"
2.62834767880144e-43,3.02974931525687,0.206,0.024,3.6045160067083e-39,"0","CD40LG"
2.63058432962746e-43,-1.83344020571129,0.126,0.335,3.6075833496511e-39,"0","CTSD"
3.01807612697954e-43,-4.70283741902774,0.007,0.149,4.13898960053974e-39,"0","RAB32"
8.00317317178912e-43,-4.79171683321383,0.1,0.245,1.09755516877916e-38,"0","GNLY"
9.00582113957414e-43,-1.53352215960386,0.252,0.466,1.2350583110812e-38,"0","TALDO1"
1.04906149297473e-42,-4.37869848261045,0.028,0.182,1.43868293146555e-38,"0","CCL4"
1.05371345484268e-42,-3.26160200054175,0.028,0.185,1.44506263197125e-38,"0","CSF3R"
1.05492453454968e-42,-4.64293930053795,0.009,0.151,1.44672350668143e-38,"0","PLBD1"
1.32498382424157e-42,-1.93767420588233,0.136,0.336,1.81708281656488e-38,"0","ASAH1"
